ABS TIME|T-CPU|T-PCB-TOP|T-PCB-BOTTOM|T-WIRELESS-MODEM|T-POWER-MANAGER|X ACC|Y ACC|Z ACC|X GYRO|Y GYRO|Z GYRO|X MAG|Y MAG|Z MAG
2026-01-29 04:27:35.949898+00:00|35.569324436925|38.64435955752572|37.160917159879205|35.56534535662405|36.27913126402126|-0.73974609375|0.532470703125|-0.32421875|-0.213623046875|2.0751953125|0.1220703125|0.0|38.78498931623931|-41.10435744810745
2026-01-29 04:27:36.009424+00:00|35.573303610384926|38.648424806120374|37.160917159879205|35.57728287705282|36.29112120124995|-0.74658203125|0.53173828125|-0.338623046875|-1.0986328125|2.685546875|0.1220703125|-1.0577724358974359|38.4323985042735|-41.10435744810745
2026-01-29 04:27:36.068712+00:00|35.557387475301766|38.64029444134832|37.160917159879205|35.58126223697798|36.31110647341478|-0.7275390625|0.5390625|-0.349365234375|-1.556396484375|2.716064453125|-0.030517578125|0.17629540598290597|37.19833066239316|-41.27421016483516
2026-01-29 04:27:36.128065+00:00|35.557387475301766|38.63622945753434|37.160917159879205|35.58126223697798|36.28712445343473|-0.75048828125|0.529052734375|-0.341552734375|-0.91552734375|2.25830078125|0.0|-1.234067841880342|38.96128472222222|-41.613915598290596
2026-01-29 04:27:36.187421+00:00|35.569324436925|38.632164606030074|37.15287708313542|35.56534535662405|36.29511805120433|-0.744140625|0.533935546875|-0.335693359375|-1.64794921875|2.777099609375|-0.1220703125|-0.7051816239316239|38.4323985042735|-39.40583028083028
2026-01-29 04:27:36.246223+00:00|35.569324436925|38.63622945753434|37.160917159879205|35.573303610384926|36.28712445343473|-0.73388671875|0.532470703125|-0.354736328125|-1.007080078125|2.410888671875|0.091552734375|-0.35259081196581193|37.72721688034188|-40.08524114774115
2026-01-29 04:27:36.305884+00:00|35.569324436925|38.64029444134832|37.164937367931145|35.569324436925|36.26714224469299|-0.748291015625|0.5390625|-0.334716796875|-0.9765625|2.166748046875|0.091552734375|-1.4103632478632477|38.78498931623931|-42.12347374847374
2026-01-29 04:27:36.364881+00:00|35.573303610384926|38.632164606030074|37.16895768917152|35.569324436925|36.29511805120433|-0.7431640625|0.53515625|-0.3310546875|-0.9765625|2.410888671875|0.06103515625|-2.2918402777777778|38.256103098290595|-41.613915598290596
2026-01-29 04:27:36.424050+00:00|35.58126223697798|38.632164606030074|37.164937367931145|35.57728287705282|36.29112120124995|-0.7333984375|0.541748046875|-0.339111328125|-1.068115234375|2.227783203125|0.152587890625|-0.17629540598290597|38.608693910256406|-41.953621031746025
2026-01-29 04:27:36.483486+00:00|35.573303610384926|38.64029444134832|37.160917159879205|35.58126223697798|36.299115003347936|-0.73828125|0.53369140625|-0.3408203125|-1.0986328125|2.3193359375|-0.213623046875|-1.234067841880342|38.256103098290595|-41.613915598290596
