Unix_Timestamp,ISO_Time,Temp1_C,Temp2_C,Temp3_C,Temp4_C,Temp5_C,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,BME_Pressure_hPa,BME_Humidity_pct,BME_Temp_C,Current_A,Power_W,Bus_Voltage_V,Is_UTC
1770538703,2026-02-08T00:18:23,3.6912708282470703,21.123180389404297,21.573789596557617,19.981678009033203,21.932748794555664,0.2060546875,0.362060546875,-0.861328125,-1.190185546875,2.044677734375,-0.06103515625,30.675399780273438,75.10184478759766,-122.63365936279297,21.26705551147461,994.8309936523438,38.23152160644531,0.0014024389982223511,0.0007317073345184327,11.999849999994039,1
1770538707,2026-02-08T00:18:27,3.448136806488037,21.109329223632812,21.587608337402344,19.983671188354492,21.94457244873047,0.20654296875,0.365234375,-0.857421875,-1.3427734375,2.25830078125,0.1220703125,31.909467697143555,74.92554473876953,-122.12409973144531,21.26705551147461,994.8309936523438,38.22568893432617,0.0013048779964447022,0.0012195122241973877,11.999870000004769,1
1770538707,2026-02-08T00:18:27,3.4829437732696533,21.09943389892578,21.55799674987793,19.971717834472656,21.94457244873047,0.207763671875,0.3583984375,-0.85546875,-1.03759765625,2.166748046875,0.1220703125,31.027992248535156,76.15961456298828,-122.63365936279297,21.272136688232422,994.7578735351562,38.23149490356445,0.0014024389982223511,0.0017073171138763427,11.999859999999403,1
1770538707,2026-02-08T00:18:27,3.43818736076355,21.109329223632812,21.569841384887695,19.983671188354492,21.916982650756836,0.20654296875,0.36083984375,-0.855712890625,-1.251220703125,2.13623046875,0.030517578125,32.26205825805664,76.33590698242188,-121.7844009399414,21.2772159576416,994.7931518554688,38.248966217041016,0.0014024389982223511,0.0017073171138763427,11.999859999999403,1
1770538707,2026-02-08T00:18:27,3.4157936573028564,21.10141372680664,21.58168601989746,19.96773338317871,21.94457244873047,0.208251953125,0.362060546875,-0.85302734375,-1.251220703125,2.288818359375,0.152587890625,32.79094696044922,75.10184478759766,-121.61454772949219,21.272136688232422,994.7578735351562,38.21399688720703,0.0015,0.0017073171138763427,11.999859999999403,1
1770538707,2026-02-08T00:18:27,3.4307239055633545,21.109329223632812,21.573789596557617,19.971717834472656,21.958364486694336,0.20556640625,0.3623046875,-0.85791015625,-1.312255859375,2.410888671875,0.244140625,29.79392433166504,75.98332214355469,-122.80351257324219,21.2772159576416,994.7118530273438,38.231468200683594,0.001597561001777649,0.0012195122241973877,11.999859999999403,1
1770538707,2026-02-08T00:18:27,3.5053069591522217,21.10141372680664,21.58168601989746,19.977693557739258,21.972156524658203,0.205078125,0.364013671875,-0.852783203125,-1.251220703125,2.166748046875,0.030517578125,32.26205825805664,75.98332214355469,-122.12409973144531,21.28229522705078,994.7471313476562,38.21977615356445,0.0014024389982223511,0.0017073171138763427,11.999859999999403,1
1770538707,2026-02-08T00:18:27,3.475487232208252,21.11922264099121,21.585634231567383,19.99960708618164,21.93471908569336,0.2060546875,0.359375,-0.857421875,-1.312255859375,2.197265625,0.030517578125,32.26205825805664,75.63072967529297,-123.48292541503906,21.28229522705078,994.774169921875,38.231441497802734,0.0015,0.0007317073345184327,11.999859999999403,1
1770538707,2026-02-08T00:18:27,3.477972984313965,21.125158309936523,21.565893173217773,19.98566246032715,21.962305068969727,0.20947265625,0.36083984375,-0.8525390625,-1.28173828125,1.953125,0.152587890625,31.027992248535156,75.80702209472656,-122.9733657836914,21.28229522705078,994.7200317382812,38.225608825683594,0.0014024389982223511,0.00048780488967895507,11.999870000004769,1
1770538707,2026-02-08T00:18:27,3.43818736076355,21.09943389892578,21.567867279052734,19.971717834472656,21.93077850341797,0.20458984375,0.36474609375,-0.85986328125,-1.3427734375,2.227783203125,-0.091552734375,32.26205825805664,76.33590698242188,-121.7844009399414,21.28229522705078,994.6929321289062,38.243106842041016,0.0013048779964447022,0.0012195122241973877,11.999840000003577,1
1770538708,2026-02-08T00:18:28,3.403348207473755,21.09349822998047,21.585634231567383,19.96773338317871,21.94851303100586,0.2041015625,0.3623046875,-0.85107421875,-1.40380859375,2.349853515625,0.0,30.851696014404297,75.98332214355469,-122.12409973144531,21.28229522705078,994.828369140625,38.237274169921875,0.0014024389982223511,0.0012195122241973877,11.999859999999403,1
1770538708,2026-02-08T00:18:28,3.356027126312256,21.09151840209961,21.55799674987793,19.973709106445312,21.928808212280273,0.205078125,0.3583984375,-0.854736328125,-1.617431640625,2.0751953125,0.030517578125,31.204286575317383,76.33590698242188,-121.7844009399414,21.28229522705078,994.7200317382812,38.20811080932617,0.0015,0.0017073171138763427,11.999859999999403,1
1770538708,2026-02-08T00:18:28,3.3610103130340576,21.08953857421875,21.55997085571289,19.95777130126953,21.92486572265625,0.2060546875,0.3623046875,-0.85546875,-1.3427734375,2.25830078125,-0.030517578125,32.08576202392578,75.80702209472656,-121.95425415039062,21.28229522705078,994.774169921875,38.231441497802734,0.0013048779964447022,0.0012195122241973877,11.999870000004769,1
1770538708,2026-02-08T00:18:28,3.363501787185669,21.10141372680664,21.55602264404297,19.955780029296875,21.926836013793945,0.209228515625,0.36572265625,-0.849853515625,-1.52587890625,2.3193359375,0.091552734375,31.909467697143555,75.98332214355469,-123.48292541503906,21.292455673217773,994.763427734375,38.20805740356445,0.0015,0.0012195122241973877,11.999870000004769,1
