UTC TIME|TIME (s)T-CPU|T-PCB-TOP|T-PCB-BOTTOM|T-WIRELESS-MODEM|T-POWER-MANAGER|X ACC|Y ACC|Z ACC|X GYRO|Y GYRO|Z GYRO|X MAG|Y MAG|Z MAG
2026-02-08 06:09:12.086890+00:00|0.05973982810974121|20.25279890638052|21.394429923140137|21.81284802435988|20.25279890638052|25.766022466887023|0.113525390625|0.286376953125|-0.892333984375|-1.251220703125|2.532958984375|0.18310546875|33.67242254273504|78.45145566239316|-116.34911095848595
2026-02-08 06:09:12.145453+00:00|0.1182856559753418|20.25279890638052|21.3983814227351|21.81284802435988|20.24882162720843|25.797169056994505|0.1123046875|0.289794921875|-0.90234375|-1.220703125|2.288818359375|0.030517578125|33.31983173076923|78.45145566239316|-116.34911095848595
2026-02-08 06:09:12.204060+00:00|0.17689228057861328|20.24086677652656|21.382574937120182|21.804961387622427|20.25279890638052|25.758235577685866|0.115234375|0.2880859375|-0.893310546875|-1.556396484375|2.5634765625|0.06103515625|32.790945512820514|81.09588675213675|-117.19837454212454
2026-02-08 06:09:12.262616+00:00|0.23545312881469727|20.25279890638052|21.394429923140137|21.804961387622427|20.244844250609617|25.738767927552033|0.114013671875|0.29052734375|-0.894775390625|-1.190185546875|2.197265625|0.1220703125|32.96724091880342|78.80404647435897|-116.00940552503053
2026-02-08 06:09:12.321327+00:00|0.2941586971282959|20.24882162720843|21.402332841215753|21.80890474371739|20.24882162720843|25.742661506585932|0.11376953125|0.287353515625|-0.898681640625|-1.434326171875|2.288818359375|-0.1220703125|33.31983173076923|79.15663728632478|-116.68881639194139
2026-02-08 06:09:12.379754+00:00|0.3525848388671875|20.244844250609617|21.390478342375957|21.81284802435988|20.25279890638052|25.762129034442182|0.114013671875|0.2900390625|-0.899169921875|-1.373291015625|2.25830078125|0.30517578125|33.84871794871795|78.62775106837607|-116.51896367521367
2026-02-08 06:09:12.438290+00:00|0.4111213684082031|20.25279890638052|21.390478342375957|21.80890474371739|20.24882162720843|25.785489266119896|0.112060546875|0.289306640625|-0.8896484375|-1.0986328125|2.3193359375|0.244140625|32.438354700854696|78.62775106837607|-115.8395528083028
2026-02-08 06:09:12.496889+00:00|0.46972227096557617|20.24086677652656|21.386526680387647|21.804961387622427|20.25279890638052|25.77770261883302|0.112548828125|0.285888671875|-0.89794921875|-1.251220703125|2.227783203125|0.42724609375|32.6146501068376|79.15663728632478|-116.34911095848595
2026-02-08 06:09:12.555434+00:00|0.5282654762268066|20.25279890638052|21.382574937120182|21.804961387622427|20.244844250609617|25.773809259034465|0.114013671875|0.288330078125|-0.89501953125|-1.28173828125|2.197265625|0.030517578125|34.02501335470085|78.45145566239316|-116.00940552503053
2026-02-08 06:09:12.614056+00:00|0.5868880748748779|20.24882162720843|21.394429923140137|21.81284802435988|20.244844250609617|25.773809259034465|0.114501953125|0.288818359375|-0.896728515625|-1.3427734375|2.410888671875|-0.152587890625|32.6146501068376|79.50922809829059|-116.00940552503053
